id,tweet,tweet_cleaned,nouns,verbs,adjectives,positive,negative,sentiment
2401,"im getting on borderlands and i will murder you all ,","I m get borderland murder ,",1,1,1,0,1,Positive
2401,"I am coming to the borders and I will kill you all,","come border kill ,",2,1,0,0,1,Positive
2401,"im getting on borderlands and i will kill you all,","I m get borderland kill ,",0,2,1,0,1,Positive
2401,"im coming on borderlands and i will murder you all,","I m come borderland murder ,",1,1,1,0,1,Positive
2401,"im getting on borderlands 2 and i will murder you me all,","I m get borderland 2 murder ,",1,1,1,0,1,Positive
2401,"im getting into borderlands and i can murder you all,","I m get borderland murder ,",1,1,1,0,1,Positive
2402,So I spent a few hours making something for fun. . . If you don't know I am a HUGE @Borderlands fan and Maya is one of my favorite characters. So I decided to make myself a wallpaper for my PC. . Here is the original image versus the creation I made :) Enjoy! pic.twitter.com/mLsI5wf9Jg,spend hour make something fun . . . ' know HUGE @Borderlands fan Maya one favorite character . decide make wallpaper PC . . original image versus creation make :) enjoy !,6,6,3,8,0,Positive
2402,"So I spent a couple of hours doing something for fun... If you don't know that I'm a huge @ Borderlands fan and Maya is one of my favorite characters, I decided to make a wallpaper for my PC.. Here's the original picture compared to the creation I made:) Have fun! pic.twitter.com / mLsI5wf9Jg","spend couple hour something fun ... ' know ' huge @ Borderlands fan Maya one favorite character , decide make wallpaper PC .. ' original picture compare creation make :) fun ! / mLsI5wf9Jg",10,6,3,8,0,Positive
2402,So I spent a few hours doing something for fun... If you don't know I'm a HUGE @ Borderlands fan and Maya is one of my favorite characters.,spend hour something fun ... ' know ' HUGE @ Borderlands fan Maya one favorite character .,3,2,2,4,0,Positive
2402,So I spent a few hours making something for fun. . . If you don't know I am a HUGE RhandlerR fan and Maya is one of my favorite characters. So I decided to make myself a wallpaper for my PC. . Here is the original image versus the creation I made :) Enjoy! pic.twitter.com/mLsI5wf9Jg,spend hour make something fun . . . ' know HUGE RhandlerR fan Maya one favorite character . decide make wallpaper PC . . original image versus creation make :) enjoy !,6,6,4,8,0,Positive
