sentence,sentiment,dictionary_classification
"geosolutions technology leverage benefon ' gps solution provide location based search technology , communities platform , location relevant multimedia content new powerful commercial model .",positive,positive
"$ esi low , $ . $ . bk real possibility",negative,negative
"last quarter , componenta ' net sale double eurm eurm period year early , move zero pre - tax profit pre - tax loss eurm .",positive,positive
"accord finnish - russian chamber commerce , major construction company finland operate russia .",neutral,neutral
"swedish buyout firm sell remain . percent stake , almost eighteen month take company public finland .",neutral,neutral
$ spy ' surprised see green close,positive,positive
shell ' $ billion bg deal meet shareholder skepticism,negative,negative
"ssh communications security corp stock exchange release october , : pm company update full year outlook estimate result remain loss full year .",negative,-1
kone ' net sale rise % year -- year first nine month .,positive,positive
"stockmann department store total floor space , square metre stockmann ' investment project price tag eur million .",neutral,neutral
circulation revenue increase % finland % sweden .,positive,positive
$ sap q disappoint # software license . real problem ? # cloud growth trail $ msft $ orcl $ goog $ crm $ adbe,negative,negative
"subdivision make sale revenue last year eur . million eur . million , operate profit eur . million eur . million .",positive,positive
viking line cancel service .,neutral,-1
"ahlstrom corporation stock exchange announcement .. . total , new share ahlstrom corporation subscribe option right company ' stock option program ii .",neutral,neutral
$ fb go green day,positive,positive
$ msft sql server revenue grow double - digit sql server premium revenue grow %,positive,positive
"accord l+ñnnen tehtaat ' ceo matti karppinen , company aim deliver fish product customer day early currently .",neutral,neutral
company ' share quote nasdaq omx helsinki rautaruukki oyj : rtrks .,neutral,neutral
elcoteq se list nasdaq omx helsinki ltd. .,neutral,neutral
two contract turntable anode vibrocompactor deliver gansu hualu aluminum co ltd another unnamed costumer .,neutral,neutral
"aviva , friends life top forecast ahead . billion pound merger",positive,positive
"stead base soft drink , usual , teho energy drink make fresh water .",neutral,neutral
company plan increase unit ' specialist staff several dozen -- depend market situation .,neutral,neutral
company close last year turnover four million euro .,neutral,neutral
shire ceo step drive get baxalta board talk,positive,positive
costco : premier retail dividend play $ cost,positive,positive
"five - storey , eco - efficient building gross floor area , sq . also include apartment .",neutral,neutral
"first installment cinema series conclude profile finnish inventor olavi linden , whose personal artistic journey work fiskars lead dozen design award .",neutral,neutral
welcome .,neutral,-1
"stockmann swedish sector company ab lindex enter agreement september , , whereby stockmann , wholly - own subsidiary , make public tender offer lindex ' issue share .",positive,positive
"huhtamaki oyj stock exchange release , .. . huhtamaki ' capital markets day institutional investor analyst hold espoo , september , start . pm finnish time .",neutral,neutral
` ` please welcome tapek noma cramo group .,positive,positive
- profit tax eur . . million .,neutral,-1
royal dutch shell buy bg group nearly $ billion,positive,positive
"financialwire tm press release service , receive compensation news , opinion distribution .",neutral,neutral
assa abloy kaupthing bank give ` neutral ' recommendation share price target crown $ . - euro swedish lock maker assa abloy ab .,neutral,neutral
"item include restructuring cost eur . , year early eur . . diluted eps stand eur . versus loss per share eur . .",positive,positive
bank post net profit lt . mn .,neutral,neutral
$ aapl afternoon selloff usual brutal . get ready lose ton money .,negative,negative
$ tsla recall pretty much every single model x @cnnbrk get short even work jump money trade,negative,negative
"dolce & gabbana ask european union declare marimekko corporation ' ` ` unikko '' floral pattern trademark invalid , continue dispute two company .",negative,-1
intercontinental hotels first - quarter global room revenue lag estimate,negative,negative
"accord finnish pension insurance company varma , varma recipient two third revenue earning - relate pension cover competitive tendering finland .",positive,positive
"portion , $ . million , record part winning prior patent dispute finnish phone maker nokia oyj .",positive,positive
"l&g still pay price dividend cut crisis , chief say",negative,negative
volume investment two phase project estimate usd mn ( eur . mn ) .,neutral,neutral
"russia account % lagardere magazine division ' revenue , eur . mn ( usd . mn ) , usa - % .",neutral,neutral
company also estimate already carry investment lead increase net sale reach eur . million .,positive,positive
profit accounting period eur . mn .,neutral,-1
"six brewery record . percent growth domestic beer sale last year . million liter , . million liter sell .",positive,positive
"august - october , company ' result taxis total eur . mn , eur . mn corresponding period .",positive,-1
"systeemitiimi ' sale project resource also strengthen , director paul skogberg say .",positive,positive
tesco share price jump q sale top estimate,positive,positive
fine print .,neutral,neutral
price log clearly improve also price pulpwood go .,positive,positive
"thus , sysopen digia , accordance chapter section finnish companies act .. - , obtain title share sentera redeem .",neutral,neutral
diluted earning per share ( eps ) fall eur . eur . .,neutral,-1
": p .. eastern time , block , contract change hand bid price $ . .",neutral,neutral
"recent technology delivery include refinery technology anrak aluminium , iron ore pelletize plant tata steel iron ore sinter plant bhushan steel .",neutral,neutral
$ vips similar pattern like begin may . u sell ? .. go much high drop .,positive,positive
firm generate sale mln eur .,neutral,neutral
